STN;YYYYMMDD;DDVEC;FHVEC;FG;FHX;FHXH;FHN;FHNH;FXX;FXXH;TG;TN;TNH;TX;TXH;T10N;T10NH;SQ;SP;Q;DR;RH;RHX;RHXH;PG;PX;PXH;PN;PNH;VVN;VVNH;VVX;VVXH;NG;UG;UX;UXH;UN;UNH;EV24
235;20150110;253;126;137;150;9;130;2;230;12;86;55;24;114;1;48;24;13;16;150;3;10;10;12;10073;10124;22;10014;10;42;11;66;24;6;78;95;4;60;16;2
235;20150111;270;126;130;140;5;110;23;240;12;66;47;7;78;23;42;6;7;9;194;2;3;2;6;10139;10166;21;10101;4;60;13;65;1;6;74;84;23;63;10;3
235;20150112;227;110;111;150;15;20;23;210;11;83;56;23;92;12;56;24;0;0;86;80;129;53;21;10080;10145;1;10043;24;37;22;62;1;7;88;97;22;82;4;1
235;20150113;225;78;83;130;3;40;14;190;4;74;41;21;94;4;29;24;13;16;124;123;154;26;3;10009;10032;1;9995;7;46;1;70;14;7;90;96;1;81;22;2
235;20150114;231;77;88;120;5;50;12;180;5;50;22;12;66;1;18;12;20;25;182;14;24;13;12;10041;10081;17;10009;1;42;11;80;17;7;74;94;11;66;4;2
235;20150115;206;125;130;180;7;100;12;260;7;76;50;1;98;8;45;6;5;6;108;78;38;9;3;9920;9991;1;9894;7;50;9;75;1;6;84;92;3;64;24;1
235;20150116;240;72;77;140;1;40;16;210;1;63;41;24;86;13;28;24;12;15;178;21;22;18;14;10023;10083;24;9948;1;58;10;75;22;6;78;90;14;67;1;2
235;20150117;231;65;73;90;12;50;1;160;18;43;11;20;62;11;5;24;65;79;443;49;114;28;24;10110;10125;10;10089;1;31;17;80;1;4;75;96;20;54;13;5
235;20150118;192;39;40;80;3;10;13;140;1;27;6;24;50;1;-10;24;0;0;92;104;121;41;12;10110;10127;23;10100;4;27;3;65;1;8;95;98;21;91;1;1
235;20150119;192;13;15;30;20;0;13;50;22;4;-20;9;60;12;-54;12;40;48;334;0;-1;-1;7;10120;10125;2;10114;14;0;18;75;11;5;96;100;5;80;11;4
235;20150120;184;33;33;50;11;20;5;70;11;3;-17;23;29;14;-38;24;42;50;354;18;13;7;10;10118;10124;10;10110;4;1;1;59;14;5;96;100;2;90;14;4
235;20150121;113;40;45;60;18;30;1;100;24;5;-11;1;21;14;-24;6;38;45;341;0;0;0;1;10132;10164;24;10112;3;25;3;62;10;5;83;95;4;73;13;4
235;20150122;70;54;56;70;8;20;24;100;8;-1;-22;6;16;15;-40;24;39;46;397;0;0;0;1;10211;10252;23;10167;1;26;5;80;20;3;80;91;4;69;20;4
235;20150123;177;35;36;90;24;0;4;120;24;-14;-47;5;23;13;-82;6;70;83;571;0;0;0;1;10246;10268;8;10185;24;1;15;67;11;4;89;99;15;74;11;6
235;20150124;285;39;64;90;1;40;22;140;2;45;-1;2;69;12;-2;6;63;74;500;44;86;22;3;10201;10268;24;10136;6;12;4;70;13;4;80;97;4;67;13;6
235;20150125;253;36;41;60;24;20;10;80;23;58;42;2;67;12;26;6;0;0;182;9;3;2;9;10264;10284;8;10226;24;58;9;64;15;8;88;92;9;81;1;2
235;20150126;281;54;68;80;10;60;1;140;23;67;50;23;78;12;41;24;5;6;163;15;4;1;9;10187;10217;1;10163;13;19;4;67;23;7;87;98;3;75;21;2
235;20150127;289;46;52;70;2;30;18;140;5;62;45;18;77;12;33;18;58;67;440;5;2;1;5;10213;10227;11;10173;24;56;23;70;19;5;86;96;23;77;1;6
235;20150128;245;105;119;160;12;60;1;240;12;56;26;17;70;14;21;18;0;0;74;48;54;19;13;9997;10157;1;9915;24;29;10;69;6;7;83;97;13;66;22;1
235;20150129;256;85;92;140;1;20;20;210;1;30;2;22;46;2;1;24;17;19;240;74;49;9;21;9797;9907;1;9716;21;24;21;72;15;7;82;98;21;68;1;3
235;20150130;266;35;43;70;16;10;7;120;20;25;-17;7;54;12;-52;12;39;44;428;48;64;38;19;9746;9760;9;9721;1;34;17;80;13;5;85;98;18;66;13;5
235;20150131;266;24;34;50;1;10;17;90;7;27;-5;23;56;12;-23;24;54;61;543;14;8;3;19;9804;9842;22;9759;1;60;23;75;12;5;86;97;24;73;13;6
240;20150101;200;73;73;100;19;40;4;160;24;35;9;3;55;24;1;6;8;10;154;5;2;2;24;10292;10338;1;10205;24;18;1;69;18;6;84;92;3;76;19;2
240;20150102;262;93;104;130;4;70;23;190;5;76;52;1;106;7;47;24;45;58;341;34;25;9;3;10250;10309;23;10178;5;37;6;71;10;4;74;94;4;62;11;5
240;20150103;241;39;50;80;8;20;17;140;8;46;31;23;66;1;14;24;0;0;75;33;14;7;10;10227;10299;1;10172;15;27;18;77;8;7;85;97;17;67;1;1
240;20150104;278;34;40;60;12;30;7;90;6;35;-9;22;79;13;-24;24;58;74;388;1;1;1;6;10328;10353;21;10269;1;60;24;77;14;2;84;96;24;69;14;5
240;20150105;188;40;43;60;10;30;16;90;11;29;0;2;39;6;-9;6;15;19;157;0;0;0;1;10303;10341;1;10259;24;37;3;63;24;7;93;98;2;91;7;2
240;20150106;185;30;42;50;9;30;1;100;22;32;7;9;68;23;1;12;39;49;265;25;17;6;18;10217;10253;1;10193;16;24;18;73;10;8;89;97;19;78;10;3
240;20150107;206;58;62;100;23;40;1;140;23;42;11;7;73;13;1;12;50;63;324;23;31;19;24;10245;10267;9;10208;24;41;23;75;14;5;89;97;8;80;14;4
240;20150108;226;66;73;100;1;50;16;130;1;68;42;1;87;12;40;6;0;0;39;75;113;28;12;10197;10244;22;10159;13;47;11;70;17;6;92;96;11;86;17;1
240;20150109;237;119;122;160;7;60;1;240;10;98;59;3;124;23;54;6;0;0;112;42;69;33;18;10144;10233;1;10093;21;30;18;71;12;8;86;95;18;68;16;2
240;20150110;252;126;135;180;12;110;14;270;12;92;52;22;123;1;43;24;4;5;116;12;41;35;13;10099;10145;22;10046;12;30;12;71;22;6;76;97;12;60;19;2
240;20150111;267;115;118;140;12;100;16;200;6;66;49;2;82;22;41;6;21;26;281;0;-1;-1;17;10162;10190;18;10122;4;60;17;72;7;7;71;79;21;66;1;4
240;20150112;223;116;118;150;13;100;1;220;11;90;77;3;107;17;71;6;0;0;110;56;64;21;20;10107;10166;1;10063;24;28;24;75;14;8;85;97;24;73;5;2
240;20150113;222;81;84;120;3;40;23;180;5;83;52;24;100;5;48;24;2;2;97;139;179;27;7;10025;10051;1;10011;12;36;3;71;19;8;90;95;1;77;19;1
240;20150114;215;70;81;110;6;50;18;170;6;44;21;19;62;4;10;24;27;33;233;40;46;20;12;10059;10100;18;10026;1;43;12;75;3;6;82;92;12;72;4;3
240;20150115;204;103;108;140;8;80;12;220;9;77;50;1;101;9;45;6;0;0;65;109;90;11;11;9945;10014;1;9920;14;56;5;75;9;8;84;94;3;67;21;1
240;20150116;212;59;63;110;1;30;19;180;1;51;20;23;84;13;6;24;32;39;351;22;25;13;19;10037;10092;24;9979;1;61;18;72;14;4;85;95;21;75;13;4
240;20150117;208;52;56;90;20;30;3;130;20;27;-11;5;63;13;-28;6;71;86;478;1;1;1;22;10125;10141;11;10100;1;65;7;79;12;4;82;92;8;69;12;6
240;20150118;188;31;33;70;2;10;20;100;2;25;12;20;36;13;5;24;0;0;109;118;59;11;13;10117;10129;23;10108;14;41;21;61;1;8;94;98;21;89;1;1
240;20150119;157;12;15;30;22;10;1;40;21;2;-16;9;19;1;-34;12;0;0;212;0;0;0;1;10123;10130;10;10117;15;1;10;60;2;7;99;100;6;97;2;2
240;20150120;172;23;26;40;20;10;4;60;19;6;-16;21;36;15;-33;24;11;13;221;0;0;0;1;10123;10132;10;10116;4;3;1;59;10;6;94;100;1;85;13;2
240;20150121;103;35;38;50;11;30;1;90;13;-3;-30;24;16;13;-49;24;6;7;293;0;0;0;1;10128;10157;24;10114;3;30;1;62;13;6;82;94;1;72;13;3
240;20150122;58;42;44;60;6;20;17;100;6;-8;-28;24;13;18;-62;24;0;0;137;0;0;0;1;10203;10250;24;10158;1;42;3;61;18;6;84;90;3;77;20;1
240;20150123;175;27;33;80;24;10;1;130;24;-29;-63;4;7;10;-85;12;28;33;298;0;0;0;1;10254;10271;8;10212;24;1;11;56;10;5;96;100;5;89;10;3
240;20150124;271;31;56;90;1;20;24;130;2;24;-8;1;69;14;-30;24;60;70;574;44;80;34;4;10211;10277;24;10156;6;7;5;69;15;5;86;98;8;71;14;7
240;20150125;228;36;40;50;11;20;1;80;13;45;-3;1;68;14;-38;6;1;1;200;4;1;1;10;10275;10294;8;10240;24;56;10;65;2;8;91;97;6;82;15;2
240;20150126;281;51;64;80;11;40;2;130;14;66;32;24;86;14;21;24;11;13;162;39;15;6;11;10197;10232;1;10170;14;12;4;75;14;7;88;98;4;75;23;2
240;20150127;281;44;51;70;12;40;1;100;11;55;29;1;76;13;15;6;24;27;322;0;-1;-1;22;10222;10234;11;10186;24;50;23;65;1;6;88;97;19;81;11;4
240;20150128;236;84;100;130;12;40;1;230;15;52;21;15;76;15;19;18;0;0;56;44;86;30;13;10021;10176;1;9937;14;34;9;75;16;8;84;96;9;64;24;1
240;20150129;246;71;78;120;5;20;21;180;5;30;-1;24;55;10;1;24;17;19;246;74;96;16;15;9813;9932;1;9719;22;11;22;74;9;7;81;98;21;67;1;3
240;20150130;247;34;41;80;21;20;9;130;21;13;-25;5;41;13;-27;6;40;45;532;70;136;24;2;9757;9768;10;9728;1;3;1;75;13;6;91;100;1;73;13;6
240;20150131;226;34;37;60;1;30;5;90;1;15;-19;23;50;15;-28;24;44;49;465;1;1;1;10;9812;9852;24;9769;1;57;21;80;14;4;89;97;23;69;14;5
242;20150101;217;142;144;200;22;110;1;260;22;69;63;17;76;10;60;6;;;;;;;;10255;10315;3;10155;24;57;12;70;2;7;88;93;13;83;5;
242;20150102;269;162;173;200;1;150;6;240;1;80;68;24;102;5;66;24;;;;;;;;10216;10280;22;10137;4;56;4;64;8;6;75;97;2;65;10;
242;20150103;275;108;125;150;8;90;14;190;8;67;58;16;76;8;57;18;;;;;;;;10206;10269;1;10161;14;50;15;75;12;6;74;91;17;60;20;
242;20150104;299;89;98;130;1;70;14;200;5;66;55;24;80;13;48;24;;;;;;;;10313;10338;17;10251;1;63;1;73;23;3;71;77;19;65;11;
242;20150105;232;79;88;120;3;60;22;150;3;60;51;22;72;13;47;6;;;;;;;;10285;10323;1;10247;24;50;18;75;9;7;87;95;18;76;12;
